query_id,query_file,phase,method,run_index,latency_ms,row_count,result_node_ids_match,seed_ids_match
paper-136171-topk-5-depth-1,rag_retrieve.cql,measured,native_rag,0,2.690667,55,TRUE,
paper-136171-topk-5-depth-2,rag_retrieve.cql,measured,native_rag,0,204.316292,11669,TRUE,
paper-136171-topk-10-depth-0,rag_retrieve.cql,measured,native_rag,0,5.302958,10,TRUE,
paper-136171-topk-10-depth-1,rag_retrieve.cql,measured,native_rag,0,6.922083,106,TRUE,
paper-136171-topk-10-depth-2,rag_retrieve.cql,measured,native_rag,0,409.700708,23185,TRUE,
paper-107857-topk-1-depth-0,rag_retrieve.cql,measured,native_rag,0,1.251208,1,TRUE,
paper-107857-topk-1-depth-1,rag_retrieve.cql,measured,native_rag,0,1.042333,3,TRUE,
paper-107857-topk-1-depth-2,rag_retrieve.cql,measured,native_rag,0,4.543000,219,TRUE,
paper-107857-topk-3-depth-0,rag_retrieve.cql,measured,native_rag,0,1.208750,3,TRUE,
paper-107857-topk-3-depth-1,rag_retrieve.cql,measured,native_rag,0,1.712666,32,TRUE,
paper-107857-topk-3-depth-2,rag_retrieve.cql,measured,native_rag,0,12.220458,688,TRUE,
paper-107857-topk-5-depth-0,rag_retrieve.cql,measured,native_rag,0,1.585833,5,TRUE,
paper-107857-topk-5-depth-1,rag_retrieve.cql,measured,native_rag,0,2.299500,42,TRUE,
paper-107857-topk-5-depth-2,rag_retrieve.cql,measured,native_rag,0,14.505417,803,TRUE,
paper-107857-topk-10-depth-0,rag_retrieve.cql,measured,native_rag,0,3.415084,10,TRUE,
paper-107857-topk-10-depth-1,rag_retrieve.cql,measured,native_rag,0,4.587000,56,TRUE,
paper-107857-topk-10-depth-2,rag_retrieve.cql,measured,native_rag,0,37.143750,1926,TRUE,
paper-130806-topk-1-depth-0,rag_retrieve.cql,measured,native_rag,0,1.026459,1,TRUE,
paper-130806-topk-1-depth-1,rag_retrieve.cql,measured,native_rag,0,1.022375,5,TRUE,
paper-130806-topk-1-depth-2,rag_retrieve.cql,measured,native_rag,0,1.052542,7,TRUE,
paper-130806-topk-3-depth-0,rag_retrieve.cql,measured,native_rag,0,1.381209,3,TRUE,
paper-130806-topk-3-depth-1,rag_retrieve.cql,measured,native_rag,0,1.575500,26,TRUE,
paper-130806-topk-3-depth-2,rag_retrieve.cql,measured,native_rag,0,6.954834,332,TRUE,
paper-130806-topk-5-depth-0,rag_retrieve.cql,measured,native_rag,0,2.070292,5,TRUE,
paper-130806-topk-5-depth-1,rag_retrieve.cql,measured,native_rag,0,2.098500,30,TRUE,
paper-130806-topk-5-depth-2,rag_retrieve.cql,measured,native_rag,0,8.522083,370,TRUE,
paper-130806-topk-10-depth-0,rag_retrieve.cql,measured,native_rag,0,3.335417,10,TRUE,
paper-130806-topk-10-depth-1,rag_retrieve.cql,measured,native_rag,0,4.000125,80,TRUE,
paper-130806-topk-10-depth-2,rag_retrieve.cql,measured,native_rag,0,26.473542,1451,TRUE,
paper-68953-topk-1-depth-0,rag_retrieve.cql,measured,native_rag,0,0.867584,1,TRUE,
paper-68953-topk-1-depth-1,rag_retrieve.cql,measured,native_rag,0,0.909375,5,TRUE,
paper-68953-topk-1-depth-2,rag_retrieve.cql,measured,native_rag,0,5.679500,293,TRUE,
paper-68953-topk-3-depth-0,rag_retrieve.cql,measured,native_rag,0,1.216625,3,TRUE,
paper-68953-topk-3-depth-1,rag_retrieve.cql,measured,native_rag,0,1.715750,30,TRUE,
paper-68953-topk-3-depth-2,rag_retrieve.cql,measured,native_rag,0,12.923125,742,TRUE,
paper-68953-topk-5-depth-0,rag_retrieve.cql,measured,native_rag,0,1.356250,5,TRUE,
paper-68953-topk-5-depth-1,rag_retrieve.cql,measured,native_rag,0,2.231958,55,TRUE,
paper-68953-topk-5-depth-2,rag_retrieve.cql,measured,native_rag,0,37.750417,2226,TRUE,
paper-68953-topk-10-depth-0,rag_retrieve.cql,measured,native_rag,0,3.013500,10,TRUE,
paper-68953-topk-10-depth-1,rag_retrieve.cql,measured,native_rag,0,4.218625,82,TRUE,
paper-68953-topk-10-depth-2,rag_retrieve.cql,measured,native_rag,0,46.446500,2657,TRUE,
paper-38214-topk-1-depth-0,rag_retrieve.cql,measured,native_rag,0,0.886917,1,TRUE,
paper-38214-topk-1-depth-1,rag_retrieve.cql,measured,native_rag,0,0.923583,6,TRUE,
paper-38214-topk-1-depth-2,rag_retrieve.cql,measured,native_rag,0,7.534166,409,TRUE,
paper-38214-topk-3-depth-0,rag_retrieve.cql,measured,native_rag,0,1.297959,3,TRUE,
paper-38214-topk-3-depth-1,rag_retrieve.cql,measured,native_rag,0,2.101416,57,TRUE,
paper-38214-topk-3-depth-2,rag_retrieve.cql,measured,native_rag,0,525.735458,31056,TRUE,
paper-38214-topk-5-depth-0,rag_retrieve.cql,measured,native_rag,0,1.939208,5,TRUE,
paper-38214-topk-5-depth-1,rag_retrieve.cql,measured,native_rag,0,2.841083,73,TRUE,
paper-38214-topk-5-depth-2,rag_retrieve.cql,measured,native_rag,0,528.700333,31124,TRUE,
paper-38214-topk-10-depth-0,rag_retrieve.cql,measured,native_rag,0,4.744125,10,TRUE,
paper-38214-topk-10-depth-1,rag_retrieve.cql,measured,native_rag,0,5.330541,81,TRUE,
paper-38214-topk-10-depth-2,rag_retrieve.cql,measured,native_rag,0,566.923541,33555,TRUE,
paper-42286-topk-1-depth-0,rag_retrieve.cql,measured,native_rag,0,1.121250,1,TRUE,
paper-42286-topk-1-depth-1,rag_retrieve.cql,measured,native_rag,0,0.926209,2,TRUE,
paper-42286-topk-1-depth-2,rag_retrieve.cql,measured,native_rag,0,0.894834,3,TRUE,
paper-42286-topk-3-depth-0,rag_retrieve.cql,measured,native_rag,0,1.244083,3,TRUE,
